Salinity,pH,Sea water temperature,DO,TSS,Ammonium (NH₄⁺-N),Phosphate (PO₄³⁻-P),Fluoride (F⁻),Cyanide (CN⁻),As,Cd,Pb,Cr(VI),Total Chromium,Cu,Zn,Mn,Fe,Oil and Grease,label3
28.8,7.82,29.4,6.71,6.3,0.11,0.062,0.56,0.0025,0.0049,0.0055,0.008,0.024,0.0289609494861163,0.041,0.062,0.085,0.12,0.51,1
32.0,7.47,27.1,6.45,6.7,0.14,0.044,1.06,0.0028,0.0044,0.0055,0.0072,0.024,0.0031908596143459,0.061,0.68,0.062,0.19,0.59,1
31.3,7.94,28.5,6.21,5.8,0.093,0.056,0.52,0.0028,0.0024,0.0052,0.008,0.021,0.0260335940899567,0.058,0.054,0.034,0.12,0.52,1
32.1,7.86,32.1,6.23,13.5,0.193,0.11,1.27,0.0025,0.0056,0.0055,0.008,0.026,0.017726280680195,0.0054,0.036,0.045,0.12,0.45,1
30.3,7.45,31.2,6.21,12.5,0.19,0.044,0.95,0.0025,0.0039,0.0055,0.007,0.026,0.0277425957269507,0.0056,0.6,0.031,0.09,0.42,1
20.0,7.63,27.0,6.21,13.6,0.323,0.096,1.1,0.0028,0.0053,0.0052,0.0072,0.024,0.0146796732086462,0.02,0.68,0.053,0.16,0.48,1
27.7,7.43,28.3,5.94,12.0,0.242,0.086,1.32,0.0021,0.0034,0.0052,0.0072,0.021,0.0236744463783776,0.0096,0.6,0.047,0.12,0.45,1
25.7,7.56,28.5,6.17,19.5,0.596,0.116,0.93,0.0024,0.0061,0.0052,0.006,0.027,0.007012447437476,0.0056,0.68,0.085,0.35,0.44,1
20.1,7.87,30.6,6.32,25.6,0.397,0.08,1.33,0.0021,0.004,0.006,0.007,0.026,0.0010806029134125,0.03,0.054,0.064,0.29,0.4,1
25.8,7.65,27.0,6.43,18.7,0.39,0.065,1.12,0.0024,0.0041,0.0055,0.008,0.027,0.0094735584806463,0.01,0.6,0.065,0.085,0.39,1
27.9,7.56,27.3,6.97,15.3,0.07,0.037,0.89,0.0028,0.0035,0.0055,0.006,0.026,0.0223077914708877,0.008,0.054,0.085,0.35,0.53,1
31.2,7.48,28.4,6.31,29.1,0.31,0.093,1.16,0.0024,0.0033,0.0063,0.0072,0.027,0.0207903493181603,0.017,0.65,0.049,0.16,0.62,1
24.6,7.56,30.2,6.44,16.1,0.13,0.032,0.97,0.0025,0.0047,0.006,0.0072,0.027,0.0446560114100538,0.03,0.68,0.047,0.31,0.38,1
27.6,7.48,28.7,6.53,17.4,0.128,0.047,1.13,0.0021,0.0033,0.0063,0.0072,0.026,0.0031908596143459,0.0054,0.062,0.056,0.16,0.36,1
31.8,7.55,28.4,6.31,16.7,0.107,0.026,0.93,0.0025,0.0042,0.0063,0.006,0.024,0.0289609494861163,0.032,0.6,0.064,0.09,0.49,1
21.3,7.43,28.5,6.23,32.7,0.196,0.12,1.09,0.0021,0.0027,0.0052,0.0072,0.027,0.0295457450282962,0.02,0.68,0.044,0.13,0.46,1
25.7,7.67,26.9,6.42,17.8,0.184,0.039,0.81,0.0021,0.0036,0.0052,0.0072,0.024,0.0329710987634633,0.09,0.68,0.85,0.16,0.3,1
25.8,7.32,27.0,6.36,15.1,0.312,0.087,1.1,0.0025,0.0038,0.0055,0.008,0.027,0.0150755893817893,0.03,0.6,0.034,0.12,0.4,1
24.6,7.65,20.3,6.54,13.4,0.229,0.025,0.88,0.0025,0.0031,0.006,0.008,0.021,0.0051701432159791,0.032,0.65,0.053,0.29,0.42,1
28.2,7.52,30.5,6.43,21.7,0.537,0.103,0.87,0.0024,0.0036,0.006,0.008,0.021,0.0260335940899567,0.01,0.062,0.042,0.29,0.36,1
30.7,7.68,28.7,6.67,14.2,0.374,0.072,0.65,0.0021,0.0052,0.0052,0.006,0.024,0.0152978159097014,0.0056,0.062,0.064,0.16,0.32,1
31.9,7.61,29.0,6.7,18.7,0.27,0.039,1.1,0.0028,0.0028,0.0052,0.006,0.024,0.0324922975854109,0.02,0.036,0.085,0.34,0.51,1
22.9,7.64,30.6,6.55,16.1,0.042,0.024,0.78,0.0028,0.0021,0.0052,0.0072,0.021,0.0402381776366222,0.05,0.68,0.047,0.12,0.32,1
24.6,7.51,30.1,6.41,23.4,0.13,0.076,1.0,0.0021,0.0033,0.0052,0.0072,0.021,0.0349853217051807,0.016,0.6,0.065,0.23,0.47,1
28.8,7.6,32.2,6.9,12.8,0.054,0.022,0.69,0.0028,0.0027,0.006,0.007,0.024,0.0243328922089914,0.079,0.062,0.047,0.12,0.34,1
25.8,7.6,27.0,6.72,13.9,0.099,0.042,0.95,0.0024,0.0041,0.0055,0.007,0.027,0.0216046303841031,0.09,0.055,0.058,0.19,0.45,1
31.2,7.47,27.7,6.52,13.2,0.035,0.033,0.92,0.0021,0.0035,0.0052,0.0072,0.024,0.0136120644801798,0.09,0.68,0.065,0.29,0.34,1
29.3,7.7,26.8,6.96,33.1,0.098,0.06,0.88,0.0025,0.0039,0.0052,0.0072,0.021,0.034152413509675,0.008,0.65,0.056,0.085,0.4,1
31.8,7.64,27.7,6.9,13.5,0.036,0.04,0.64,0.0025,0.0027,0.006,0.007,0.021,0.0229457658311282,0.0262,0.054,0.78,0.25,0.37,1
25.7,7.48,27.0,6.71,16.1,0.096,0.043,1.1,0.0025,0.0033,0.0055,0.006,0.026,0.0389191359345132,0.03,0.68,0.062,0.31,0.4,1
29.3,7.41,31.2,6.84,15.6,0.062,0.029,0.92,0.0024,0.0032,0.0052,0.006,0.021,0.0315140981418147,0.025,0.062,0.047,0.29,0.44,1
28.6,7.52,31.0,6.71,27.1,0.3,0.056,0.87,0.0024,0.0036,0.0055,0.006,0.026,0.0407009785322825,0.025,0.055,0.064,0.25,0.41,1
26.6,7.69,33.1,6.74,22.3,0.17,0.032,0.99,0.0021,0.0033,0.0063,0.006,0.024,0.0059002892057306,0.01,0.062,0.064,0.15,0.34,1
31.2,7.68,29.9,6.32,19.1,0.32,0.071,1.2,0.0025,0.0056,0.006,0.0072,0.027,0.0246995162626849,0.01,0.062,0.058,0.22,0.3,1
29.4,7.74,29.9,6.39,14.8,0.06,0.039,0.78,0.0021,0.0031,0.0055,0.006,0.026,0.0010806029134125,0.03,0.65,0.042,0.09,0.31,1
